Topic,Prompt,Paragraph ID,Sentence1,Sentence2,Sentence3,Sentence4,Sentence5,Sentence6,Sentence7,Sentence8,Sentence9,Sentence10
internal combustion engine,Describe how an internal combustion engine works,608,Fuel enters the engine through a carburetor or fuel injectors.,Air is let into the engine at the same time as the fuel.,The piston in the engine moves downwards compressing the air and fuel mixture.,A spark plug causes a spark at the bottom stroke of the piston.,An explosion occurs in the engine forcing the piston back upwards.,As the piston goes up the valves for fuel and air open again.,"Fuel and air go in, and the process repeats.",The moving pistons are attached via connecting rods to a shaft.,The shaft rotates out of the motor to turn the piston energy into rotational energy.,
internal combustion engine,Describe how an internal combustion engine works,609,"The piston starts at the top, the intake valve opens, and the piston moves down to let the engine take in a cylinder-full of air and gasoline.",Then the piston moves back up to compress this fuel/air mixture.,Compression makes the explosion more powerful.,"When the piston reaches the top of its stroke, the spark plug emits a spark to ignite the gasoline.","The gasoline charge in the cylinder explodes, driving the piston down.","Once the piston hits the bottom of its stroke, the exhaust valve opens and the exhaust leaves the cylinder to go out the tailpipe.",,,,
internal combustion engine,Describe how an internal combustion engine works,610,Fuels burns in the combustion chamber.,The burning fuel creates energy.,The upward motion cause air to be released into the cylinder.,The piston compresses the air.,A spark ignites the fuel and air inside the cylinder.,The pressure pushes the piston down.,The exhaust valve opens.,The piston pushes the air out of the cylinder.,,
bacteria,Describe how bacteria can cause disease.,611,Skin is cut or damaged.,Bacteria enters through the wound.,The bacteria reproduces and spreads.,Causes symptoms.,The bacteria is either fought off or becomes a disease.,,,,,
kidney,Describe how kidneys work,615,Kidneys filter waste out of blood.,Composition of blood is regulated.,Volume of water in blood is kept constant.,PH is kept at a constant level.,Kidneys help regulate blood pressure.,Kidneys stimulate the making of red blood cells.,Calcium levels are maintained.,,,
kidney,Describe how kidneys work,616,Waste products are deposited in the blood.,Blood is carried to the kidneys through the renal arteries.,The kidneys contain filters inside.,The filters capture the waste products.,The waste is combined with water to make urine.,The urine leaves the kidney and is collected in the bladder.,The cleaned blood is returned to the body.,,,
oxygen,Describe how oxygen reaches cells in the body,617,The human body takes a breath inward.,Air is transported to the lungs.,"Air reaches the alveoli, the smallest air sacs in the lungs.","In the alveoli, air passes into the blood within small capillaries.",The gaseous oxygen in the air dissolves into the capillary blood.,The dissolved oxygen is picked-up by red blood cells.,The red blood cells bind the oxygen via a protein called heme.,Red blood cells circulate throughout the body and reach the various tissues.,"Within small capillaries, the heme release the oxygen.",The oxygen can then reach the cells within the tissue.
oxygen,Describe how oxygen reaches cells in the body,618,Air goes into the lungs.,The lungs remove oxygen from the air.,Oxygen diffuses from alveoli in the lungs to the bloodstream.,Hemoglobin in red blood cells attaches to the oxygen.,Red blood cells carry oxygen all around the body.,Oxygen diffuses into cells from capillaries.,,,,
oxygen,Describe how oxygen reaches cells in the body,619,Oxygen enters the body through the mouth or nose.,The oxygen travels into the lungs.,The oxygen binds to hemoglobin proteins within erythrocytes (red blood cells).,The erythrocytes are pumped through the body by the heart.,All cells receive the oxygen.,,,,,
liver,Describe how the liver works,624,The liver takes in blood from the rest of the body.,The liver uses enzymes to clean the blood.,The cleaned blood is expelled.,The liver creates bile from the items filtered.,The liver takes energy and stores it as glycogen.,The bile is sent to the intestines.,,,,
pancreas,Describe how the pancreas works,626,The pancreas detects chemical changes in the stomach.,The pancreas creates juices that help digest food.,The pancreas releases the juices into the stomach.,Trypsin and chymotrypsin digest protein.,Insulin is produced to move glucose from the blood.,The enzymes begin producing again.,,,,
pancreas,Describe how the pancreas works,627,Food enters the small intestine.,The small intestine produces hormones.,The hormones cause the pancreas to produce enzymes for digestion.,The enzymes travel from the pancreas to the small intestine through tubes.,The enzymes help the intestines digest the food.,The pancreas produces the hormones insuline and glucagon.,The hormones control the amount of sugar in the blood.,,,
pancreas,Describe how the pancreas works,628,Over 99% of the exocrine pancreas cells produce digestive juices.,"They secrete digestive juice ""externally"" into the small intestine.","There are enzymes for breaking down fats, proteins , and carbohydrates.",Digestive juices flows from the pancreas through an excretory duct into the small intestine.,"When the blood sugar levels rise, as they might after a meal, insulin is released.","When blood sugar levels are too low, the pancreas releases glucagon into the bloodstream.",,,,
trash,Describe how trash travels from the house to the landfill,629,People put trash in a plastic bag.,The plastic bag is put into a garbage can.,The garbage can is rolled outside.,The garbage truck comes to the house.,Workers take the plastic bag out of the garbage can and place it in the truck.,The truck drives to the landfill.,The truck dumps the trash into the landfill.,,,
trash,Describe how trash travels from the house to the landfill,630,Trash is placed into a garbage container in the house.,The trash is moved to a centralized container for the house.,Trash is picked up by a sanitation company.,The trash is combined in a large truck with trash from all around the city.,The truck goes to the landfill.,The truck dumps the trash into the landfill.,,,,
trash,Describe how trash travels from the house to the landfill,631,Trash is bagged up.,Bags get carried out to the trashcan.,Trashcan is put at the curb once a week.,Can gets emptied into trash truck.,As the truck fills it will compact the trash.,When the truck is full it heads to the landfill.,The truck dumps its load into the landfill.,,,
computer,Describe the energy transformations in a computer,632,Electricity comes into the computer from the plug.,The electricity runs the components in the computer.,Electricity turns the fan to keep the components cool.,Heat is released from the computer.,Electricity runs the computer's display.,Light is formed from the electricity.,,,,
computer,Describe the energy transformations in a computer,634,Electricity enters the power supply unit.,The power supply gives electricity to transistors.,The power supply gives electricity to the CPU.,The systems use electricity to complete tasks.,The signals they complete are sent out as visual signals.,The energy is used to complete computations.,,,,
bird,Describe the life cycle of a bird,635,An egg is laid by a mother bird.,A baby bird forms within the egg if it is fertilized.,The baby bird begins pecking out of the egg.,The baby bird is unable to fly to get food.,The mother bird must feed the baby bird food.,The bird grows stronger and grows wings.,The bird is able to fly.,The bird is able to leave the nest and find food.,The bird is able to reproduce.,
bird,Describe the life cycle of a bird,636,A bird lays an egg.,The egg hatches into a baby bird.,Baby bird eats.,Grows into an adult bird.,The bird finds a mate.,The pair build a nest.,The birds lay eggs.,,,
bird,Describe the life cycle of a bird,637,A bird hatches from an egg.,The bird is nurtured by its parents.,And is fed food for growth.,The bird grows.,Begins to learn how to fly.,The bird matures.,The bird leaves its nest.,The bird makes its own nest.,,
fish,Describe the life cycle of a fish,640,Fish lays eggs.,Eggs hatch.,Tiny fish called fry emerge.,Fry eat and grow.,Fry become adult fish.,Fish mate and more eggs are produced.,,,,
frog,Describe the life cycle of a frog,641,A tadpole is hatched.,The tadpole eventually grows hind legs.,The tadpole loses its tail.,The tadpole becomes a frog.,The frog mates with another frog to produce more offspring.,A tadpole is hatched.,The cycle begins again.,,,
frog,Describe the life cycle of a frog,642,Frogs lay thousands of eggs.,Egg clusters float around in water.,Tadpoles with gills hatch from the eggs.,Tadpoles swim in water until they grow legs.,Absorbs their tails.,Then the tadpole becomes a froglet.,Then the froglet becomes a frog.,,,
frog,Describe the life cycle of a frog,643,The frog's egg hatches and a tadpole is born.,The tadpole swims with its siblings and tries to survive.,The tadpole grows larger.,The tadpole loses its tail.,The tadpole develops limbs.,And the tadpole now becomes a frog.,,,,
human,Describe the life cycle of a human,644,A sperm meets an egg in the uterus of a woman.,The sperm implants itself into the egg.,The sperm and egg form a zygote on the wall of the uterus.,The fetus grows and develops.,The woman gives birth to a baby.,The baby is raised by parents until it is able to take care of itself.,The person goes out into the world and finds a job.,The person meets other people and has a life.,"The person gets a career, and gets married.",The person retires and eventually passes away.
human,Describe the life cycle of a human,645,A sperm and egg meet inside a woman's fallopian tube.,"The fertilized egg, now a zygote, travels to the uterus.",The zygote implants in the uterus.,The zygote becomes an embryo.,The embryo becomes a fetus.,The fetus grows for approximately 9 months.,The woman gives birth to a baby.,The baby grows into a child.,The child becomes an adult.,The adult mates with another adult.
plant,Describe the life cycle of a plant,647,A seed germinates.,It grows into a plant.,The mature plant produces flowers.,The flowers become fertilized.,Produce seeds in a fruit or seedpod.,The plant dies.,The new seeds germinate to form a new plant.,,,
plant,Describe the life cycle of a plant,648,A seed is planted.,It becomes a seedling.,The seedling grows into a full-grown plant.,The plant releases some kind of pollenating product.,The plant either self-pollinates or is spread by insects or birds.,Seeds are planted.,The cycle begins again.,,,
plant,Describe the life cycle of a plant,649,A seed must find its way to the earth.,The seed when given nutrients will sprout.,The sprouting will develop a root system.,The plant will grow larger until it matures.,The plant will thrive.,The plant will die.,Become nourishment for other plants.,,,
rabbit,Describe the life cycle of a rabbit,652,Adult rabbits mate.,The female becomes pregnant.,The female gives birth to rabbit babies.,The rabbit babies grow into adult rabbits.,The new adults mate with other rabbits.,Produce more rabbits.,,,,
tree,Describe the life cycle of a tree,653,A seed is planted.,It becomes a seedling.,It grows into a tree.,The tree grows flowers.,The flowers become fruit.,The fruits contain seeds for new trees.,,,,
tree,Describe the life cycle of a tree,654,A seedling is grown in the ground.,"The seedling grows bigger, and forms its root system.",The roots start to gain more nourishment as the tree grows.,The tree starts to attract animals and plants that will grant it more nourishment.,The tree matures.,"After a number of years the tree will grow old and die, becoming material for new growth.",,,,
butterfly,Describe the lifecycle of a butterfly,656,A larva is born.,The caterpillar eats constantly until it grows bigger.,The caterpillar starts to form a cocoon around itself.,The caterpillar becomes a pupa.,After some time the cocoon hatches.,And a butterfly is born.,,,,
butterfly,Describe the lifecycle of a butterfly,658,The butterfly starts as an egg.,"The egg hatches to form a larva, also called a caterpillar.",The carterpillar molts (loses its skin) many times as it grows.,"The caterpillar then forms itself into a pupa, or chrysalis.","The caterpillar in the chrysalis begins change, a process called mmetaphorphosis.",The caterpillar completes its metamorphosis and has turned into a butterfly.,The adult butterfly emerges out of the chrysalis and flys away!.,,,
nitrogen cycle,Describe the nitrogen cycle,659,Bacteria changes nitrogen into ammonium through fixation.,The nitrification process is where ammonium gets changed into nitrates by bacteria.,Plants absorb the nitrates from soil into their roots through assimilation.,"When plants die, fungi and bacteria turn nitrogen back into ammonium through ammonification.",The denitrification process pushes extra nitrogen from soil into the air.,The cycle repeats from step 1.,,,,
nitrogen cycle,Describe the nitrogen cycle,660,Nitrogen-fixing bacteria convert atmospheric nitrogen to organic nitrogen.,Plants absorb organic nitrogen from the soil through their roots.,Animals eat the plants.,Plants and animals die.,Animals expel wastes.,Fungi convert organic nitrogen to ammonium.,Nitrifying bacteria convert ammonium to nitrate.,Bacteria convert nitrate to nitrogen gas.,Nitrogen gas escapes from soil into the atmosphere.,
nitrogen cycle,Describe the nitrogen cycle,661,Fixation is the first step in the process of making nitrogen usable by plants. Here bacteria change nitrogen into ammonium.,Nitrification is the process by which ammonium gets changed into nitrates by bacteria.,Nitrates are what the plants can then absorb.,Assimilation is how plants get nitrogen.,"They absorb nitrates from the soil into their roots. Then the nitrogen gets used in amino acids, nucleic acids, and chlorophyll.",Ammonification is part of the decaying process.,"When a plant or animal dies, decomposers like fungi and bacteria turn the nitrogen back into ammonium so it can reenter the nitrogen cycle.",Denitrification is when extra nitrogen in the soil gets put back out into the air.,There are special bacteria that perform this task as well.,
desalination,Describe the process of desalination,665,Boil salt water.,The water will turn into water vapor.,Collect the water vapor.,Allow the water vapor to cool.,The water vapor will turn into liquid water.,The salt will be separated from the water.,,,,
desalination,Describe the process of desalination,666,Water is heated.,The heated water evaporates.,The salt is left behind.,The evaporated water condenses on a cold surface.,The evaporated water is collected.,The process is repeated.,More salt is removed from the water.,,,
desalination,Describe the process of desalination,667,Solution caves are formed in limestone and similar rocks by the action of water.,"After a rain, water seeps into cracks and pores of soil and rock.",The water percolates beneath the land surface.,Some of the water reaches a zone where all the cracks and pores in the rock are already filled with water.,Rainwater absorbs some carbon dioxide as it passes through the atmosphere and even more as it drains through soil and decaying vegetation.,The water combines chemically with the carbon dioxide.,A weak carbonic acid solution is formed.,"This acid slowly dissolves calcite, forms solution cavities, and excavates passageways.",,
evaporation,Describe the process of evaporation,671,A liquid is heated from an external source.,The heat causes the molecules in the liquid to increase in energy.,"As the molecules absorb more energy, they start to move faster.",As the molecules are moving faster they are increasing in temperature.,"When the molecules reach a certain temperature, the boiling point, they change from liquid to gas state.","As the liquid molecules go into a gaseous state, they float out into the atmosphere.","When all the liquid has turned to gas, it has evaporated completely, leaving no liquid behind.",,,
fossilization,Describe the process of fossilization,674,An organism dies.,Water seeps into the remains.,Minerals dissolved in the water form crystals.,Crystalized minerals cause the remains to harden.,The minerals form a fossil.,,,,,
fossilization,Describe the process of fossilization,675,Animals and plants die in soft soil or mud.,Sediment builds up over the remains.,"The remains decompose, leaving only trace amounts.",The remaining parts over the years are replaced with mineral.,A fossil is formed.,,,,,
fossilization,Describe the process of fossilization,676,A plant dies.,The remains of the plant are buried very fast in sediment.,The soft parts of the plant decay.,The hard parts of the plant are replaced with minerals.,The sediment turns into rock.,The rock erodes.,The fossil appears on the surface of the ground.,,,
hibernation,Describe the process of hibernation,681,The animal eats large quantities of food that will be stored as fat.,Winter comes and the animal finds a place to hibernate.,"Over a period of days, the animal's heart rate and breathing rate drop slowly.","Electrical activity in the brain almost ceases completely, though some areas remain active.",The animal has entered hibernation mode.,,,,,
perspiration,Describe the process of perspiration,683,The body's temperature increases over 98.6 degrees F.,The hypothalamus in the brain sends a message to the body.,Sweat glands in the skin receive the message.,The sweat glands start combining water and chemicals to make sweat.,The sweat leaves the skin through pores.,,,,,
photosynthesis,Describe the process of photosynthesis,686,Carbon dioxide passes through stomata in the leaves.,Water is absorbed through roots.,Chloroplast cells in leaves contain chlorophyll.,Chlorophyll absorbs energy from sunlight.,Energy splits water molecules into hydrogen and oxygen.,Oxygen gets released into atmosphere.,Hydrogen and carbon dioxide used to create glucose.,Glucose is food for plants.,,
photosynthesis,Describe the process of photosynthesis,687,Carbon dioxide from the air passes through small pores (holes) in the leaves. These pores are called stomata.,Water is absorbed by the roots and passes through vessels in the stem on its way to the leaves.,Chlorophyll absorbs the sun's energy.,It is this energy that is used to split water molecules into hydrogen and oxygen.,Oxygen is released from the leaves into the atmosphere.,Hydrogen and carbon dioxide are used to form glucose or food for plants.,,,,
plant crops,Describe the process of planting crops.,689,Seeds are sown into the ground.,The earth where the seeds are planted is given water and fertilizer.,The seeds start to grow and become seedlings.,The plants are given water.,The seedlings grow into plants.,Weeds growing near the plants are removed.,The plants grow to maturity.,,,
plant crops,Describe the process of planting crops.,690,The farmer chooses a crop that will grow well in his region.,The farmer tills the soil to loosen it.,The farmer spreads seeds.,The farmer tills again to plant the seeds.,Crops grow.,,,,,
pollution,Describe the process of pollution causing bad effects on the enviroinment.,693,One type of air pollution is the addition of carbon dioxide gas into the air.,Some scientists believe that releasing too much carbon dioxide into the atmosphere is one of the causes of global warming.,This upsets the balance of the carbon cycle.,The ozone layer helps protect us from harmful rays from the sun.,It is getting damaged from air pollution such as methane gas from livestock and CFCs from spray cans.,Acid rain is created when gasses such as sulfur dioxide get high into the atmosphere.,The wind can blow these gasses for miles and then they get washed out of the air when it rains.,This rain is called acid rain and can damage forests and kill fish.,,
precipitation,Describe the process of precipitation,695,During evaporation the sun heats up water in rivers or lakes or the ocean and turns it into vapor or steam.,"The water vapor or steam leaves the river, lake or ocean and goes into the air.","Water vapor in the air gets cold and changes back into liquid, forming clouds, which is called condensation.",Precipitation occurs when so much water has condensed that the air cannot hold it anymore.,"Water falls back to the earth in the form of rain, hail, sleet or snow.","When water ends up on land, it will either soak into the earth and become part of the ""ground water"" for animals or plants to drink.","It may also run into the oceans, lakes, or rivers where the cycle starts again.",,,
precipitation,Describe the process of precipitation,696,Air contains invisible moisture called water vapor.,Excess water vapor is condensed out as water in the form of water droplets.,Water droplets are carried up into the clouds.,The clouds become heavy with water droplets.,When the cloud is saturated.,Rain will fall.,,,,
precipitation,Describe the process of precipitation,697,Water beings to evaporate from bodies of water.,The water condenses into clouds.,The clouds travel and accumulate more water.,The clouds reach a point where they cannot hold any more water.,It begins to rain on areas below the clouds.,,,,,
recycling,Describe the process of recycling an aluminum can,698,A can is thrown away into a recycling bin.,The can is taken to a recycling center.,Melted down along with other cans.,The melted metal is turned into bars.,Becomes material for other products.,,,,,
recycling,Describe the process of recycling an aluminum can,699,The consumer throws aluminum cans and foil into a recycle bin.,The aluminum is collected.,Taken to a treatment plant.,The aluminum is sorted and cleaned ready for reprocessing.,The aluminum is re-melted.,Turned into molten aluminum.,The aluminum is made into large blocks called ingots.,The ingots are sent to mills to be rolled out.,The rolled out product is made into new aluminum products.,
the greenhouse effect,Describe the process of the greenhouse effect,701,The sun gives off radiation.,The radiation is aborbed by the Earth.,Some of the radiation goes back into space.,Some is trapped by the atmosphere.,If too much heat is trapped.,Global warming occurs.,,,,
the greenhouse effect,Describe the process of the greenhouse effect,702,Several types of gases form in the atmosphere.,May come from different sources.,The gases remain trapped in the atmosphere.,Through the suns light the gases hold in heat and energy.,Trap them in our atmosphere.,The earth may become warmer this way.,,,,
the greenhouse effect,Describe the process of the greenhouse effect,703,Greenhouse gases are released into the air by human activities.,The earth changes energy from the sun into heat.,Heat rises from the ground.,Greenhouse gas molecules in the atmosphere prevent the heat from going into space.,The temperature of the earth increases.,The temperature continues to rise and melts the polar ice caps.,The temperature rises even faster.,,,
writing and posting a letter,Describe the process of writing and posting a letter,704,You take some paper.,The writing tools.,You write a message describing what's on your mind.,You put the letter into an envelope.,You take the letter to the post office.,Send it to its recipient.,,,,
writing and posting a letter,Describe the process of writing and posting a letter,705,You find a pen.,You get a piece of paper.,You write your letter.,You put it in an envelope.,You put the address on the front.,You put a stamp on the front.,You take it to the post office.,,,
writing and posting a letter,Describe the process of writing and posting a letter,706,You gather a writing utensil and a piece of paper.,You use the writing utensil to compose your letter on the paper.,You fold the paper.,Place it into an envelope.,You write the address of the recipient on the outside of the envelope.,You seal the envelope with moisture or tape.,You apply a stamp to the outside of the envelope.,You put the envelope in a mailbox for a letter carrier to collect.,The letter carrier takes the envelope to the correct address.,
rock cycle,Describe the rock cycle,708,Rocks are constantly worn down and broken by erosion.,Erosion can be wind or water.,Erosion breaks them down to sediment.,Sediment gets compressed and heated or gets buried.,When sediment is buried it then gets melted.,When sediment is compressed it becomes metamorphic rock.,Metamorphic rock gets buried.,Buried metamorphic rock gets melted.,Melted rock eventually cools.,Rock pushed back to the surface.
kidney,Describe what kidneys do,716,Blood filled with waste flows into the kidneys.,The kidneys are made up of filtering units called nephrons.,The nephrons in the kidneys filter the blood.,Produce urine.,The urine leaves the kidneys.,The cleaned blood goes back into the body.,,,,
cloud,How are clouds formed?,720,Sunlight enters the atmosphere.,The light reaches the oceans.,The oceans are warmed.,Water evaporates.,Water vapor accumulates in the air.,"As it cools, water condenses onto particles of dust in the air.","As enough water condenses, clouds are formed.",,,
cloud,How are clouds formed?,721,Water vapor is in warm air.,The warm air cools.,The warm air expands.,The water vapor in the air condenses.,The water vapor forms water droplets or ice crystals.,,,,,
fossil,How are fossils formed?,725,Most fossils are formed when a plant or animal dies in a watery environment and is buried in mud and silt.,Soft tissues quickly decompose leaving the hard bones or shells behind.,Over time sediment builds over the top and hardens into rock.,"As the encased bones decay, minerals seep in replacing the organic material cell by cell in a process called ""petrification."".",Alternatively the bones may completely decay leaving a cast of the organism.,He void left behind may then fill with minerals making a stone replica of the organism.,,,,
fossil,How are fossils formed?,726,An animal lives a happy life.,The animal gets very old.,The animal dies.,The animal's skeleton sinks to the bottom of an ocean.,The skeleton is buried by mud.,More sand and mud fall on the skeleton.,Pressure increases on the skeleton from the weight of more mud.,The sand and mud turn into rock.,The skeleton dissolves in the water.,A hole is preserved in rock that is the shape of the skeleton.
fossil,How are fossils formed?,727,An animal dies.,Is is buried in a watery environment.,The soft tissues quickly decompose.,The bones are left behind.,"Over time, mud and silt accumulate over the bones.",Mud and silt harden into rock.,The bones slowly decay.,Minerals seep in.,Replace the organic materials.,You have a fossil.
ravine,How are ravines formed?,731,A stream or river must occur.,"Through erosion, the stream cuts into the soil and bedrock.","Through continuous erosion, a deep gash is cut through.",After many years the river may dry up.,A dry ravine is left.,,,,,
seed dispersal,How do animals help plants disburse seeds?,737,Animals may come across vegetation.,The animal may consume or get seeds stuck in their fur.,The animal travels some distance someplace else.,The seeds are dropped or deposited off.,The seeds have a new place to proliferate and grow.,,,,,
seed dispersal,How do animals help plants disburse seeds?,739,An animal walk s by a plant.,The animal gets seeds stuck in their fur.,The animal eats some fruit of the tree containing seeds.,The animal loses seeds from the fur in other locations.,Then eaten seeds are defecated out in other locations.,,,,,
echolocation,How do bats use echolocation?,742,The bat sends out sound waves from their mouth or nose.,The sound waves hit an object.,Echoes are produced.,The echo returns to the bat's ears.,The bat hears the echo.,The bat can figure out where the object is located.,,,,
pollination,How do bees pollinate plants?,743,A bee lands on the flower.,Their feet slip into little grooves that hold pollen sacs.,"When the bee flies off, it carries off the pollen sac.",The bee lands on another plant.,The pollen sac falls off and pollinates the plant.,,,,,
pollination,How do bees pollinate plants?,744,Bees land on flowers and eat the nectar of the plants.,While on the flowers pollen gets on the bee's fur.,The bee flies to another area with other flowers.,The pollen is deposited in that area.,A plant is able to reproduce.,,,,,
pollination,How do bees pollinate plants?,745,A bee visits a flower.,The hairs on the bees legs collect pollen.,The bee moves on to a different flower.,Some pollen falls off the bee.,The flower is pollinated.,,,,,
cavern,How do caverns form?,746,Some of the rock in the ground is made of limestone.,Over long periods of time rain can hit the limestone.,And cause a acidic reaction.,The limestone will slowly disintegrate.,A large gap with be where the limestone was.,Result in the cave.,,,,
cavern,How do caverns form?,747,Water from the surface seeps below the soil.,The water comes into contact with the rock below.,The rock over the years carves through the rock.,The space in the rock becomes larger and forms into a cave.,As more rather rushes through the cave becomes a cavern.,,,,,
electric generator,How do electric generators work?,758,An engine must be powered by gas or some fuel source.,The fuel source will power an alternator.,An alternator will convert mechanical energy in to measurable electrical energy.,Electrical energy will be channeled and moved.,The electrons will run through to the outlets of the generator.,"When you plug something in to the outlets of the generator, a flow of current will conduct electrons.",,,,
green plants,How do green plants get the energy they need?,769,Green is a color that gathers sunlight easily.,Sunlight is gathered by the leaves of the plant.,The sunlight is broken down into glucose through photosynthesis.,The glucose travels the plant.,The plant uses that glucose as energy to grow.,,,,,
lung,How do lungs work?,770,You breathe air in.,Air enters bronchial tubes.,Air is then split into the bronchioles of each lung.,Bronchioles have alveoli which are tiny air sacs.,Alveoli is surrounded by many small blood vessels.,Oxygen passes through alveoli into blood vessels.,Blood leaves the lungs as it travels through the body.,Blood carries carbon dioxide back to the lungs.,Carbon dioxide released when you exhale.,
lung,How do lungs work?,771,Air is taken into the body via the nose or mouth.,The air travels into the windpipe.,The windpipe divides the air to the two lungs via the bronchial tubes.,The lungs oxygenate the blood in the body.,Carbon dioxide is filtered out by every cell in the body.,The carbon dioxide is carried back to the lungs via the bloodstream.,The carbon dioxide is exhaled.,,,
lung,How do lungs work?,772,Air is drawn in through the mouth.,The air goes down the esophagus.,The air moves into the lungs.,The carbon dioxide is removed.,The remaining oxygen enters the body.,The remaining carbon dioxide is expelled through the mouth.,,,,
mineral,How do minerals form?,773,Magma cools inside the crust.,Magma crystalizes.,Lava cools on the surface.,Lava crystalizes.,Minerals dissolved in water crystlize.,,,,,
mineral,How do minerals form?,775,There are places inside Earth where rock will melt.,"Melted rock inside the Earth is also called molten rock, or magma.","Magma moves up through Earth's crust, but it does not always reach the surface.","When magma erupts onto Earth's surface, it is known as lava.",As lava flows from volcanoes it starts to cool.,Minerals form when magma and lava cool.,,,,
water,How do plants obtain and use water?,779,Plants absorb water from the ground through their root systems.,"Using sunlight, the plant separates the hydrogen and oxygen molecules through the process of photosynthesis.",The plant releases the oxygen into the atmosphere.,Combines the hydrogen with carbon dioxide to create an intermediate.,The intermediate is used to produce glucose which is the plant's food.,,,,,
seed dispersal,How do plants use animals to help disburse their seeds?,782,Plants create light weight seeds.,The wind is able to blow the seeds off of the plants.,The wind carries the seeds through the air to other areas.,The seeds get caught in the fur of animals.,The animals move and lay down on the ground.,The seeds get deposited on the ground.,The seeds become plants.,,,
seed dispersal,How do plants use animals to help disburse their seeds?,783,Plants produce fruit which contain seeds of the plant.,An animal eats the fruit from a plant.,The animal digests the fruit.,The seeds are not digested.,The seeds pass through the animal's digestive system.,The seeds are in the animal's droppings.,The seeds are now in another location and can grow.,,,
seed dispersal,How do plants use animals to help disburse their seeds?,784,A plant produces a fruit with seeds in it.,An animal eats the fruit.,The animal wanders to another area.,The animal defecates.,The seeds are included in the waste.,The seeds produce a new plant.,,,,
solar panels,How do solar panels generate electricity?,791,Photovoltaic cells are solar cells.,Photovoltaic cell is made from silicon.,Sun shines on the solar cells which generates DC electricity.,Electricity is fed into an inverter to change it to AC electricity.,Electricity is then sent into the home to be used.,Extra electricity can be sent to the main power grid for others.,,,,
lungs,How do the lungs work?,794,Air enters the lungs through bronchial tubes.,Air enters bronchioles.,Bronchioles have tiny air sacs called alveoli.,Alveoli surrounded by small blood vessels.,Oxygen absorbed by small blood vessels.,Vessels deliver oxygen to every cell in the body.,Blood brings carbon dioxide back to lungs.,Carbon dioxide released when you exhale.,,
lungs,How do the lungs work?,795,You breathe in.,"Air goes through all the little branches in your lungs to fill up the air sacs, or alveoli.",Oxygen goes through the walls of the alveoli and into the capillaries.,The oxygen goes into the bloodstream.,Oxygen is left and carbon dioxide is picked up.,You breathe it out through your lungs.,,,,
lungs,How do the lungs work?,796,Air is brought in through the mouth.,Passes through the lungs.,And into the bronchial tissue.,The carbon dioxide is removed.,The lungs bring the oxygen to the rest of the body.,,,,,
ice cubes,How do you make ice cubes?,807,Get an ice cube tray.,Fill the tray with cool water.,Place the tray in the freezer.,Leave the tray in the freezer for a few hours.,Take they tray out of the freezer.,Pop the ice cubes out of tray.,,,,
ice cubes,How do you make ice cubes?,808,You find an empty ice cube tray.,You fill the tray with warm water.,"You carefully place the tray on an even surface in a freezer that is at least 32 degree Farhenheit, the freezing point of water.",The water begins to get colder until it starts to freeze solid.,"The water expands as it freezes, one of the few liquids that has greater volume as a solid.","Because you used warm water, the gasses in the water had evaporated out, so you will have nice clear ice cubes without cracks from the trapped gasses.",,,,
sewing machine,How does a battery-operated sewing machine work?,817,Energy is stored in a battery.,The energy is released from the battery as electrical current.,The electrical current goes to a motor.,The motor makes the needle of the sewing machine go up and down.,The needle is pressed through the piece of clothing at a constant rate.,Thread is attached and used to stitch the clothing.,,,,
coal-powered electricity,How does a coal-powered power station generate electricity?,821,Coal is burned at a furnace.,The resulting heat energy is used to heat water.,The heated water is turned into steam.,The steam drives a generator.,Electricity is produced.,,,,,
coal-powered electricity,How does a coal-powered power station generate electricity?,823,Coal is mixed with hot air in a power station.,Water is sent through pipes in the power station.,The water pipes go through a firebox in the power station.,The coal is put in the air in the firebox.,The water heats up so it's very hot.,The water turns into steam.,The steam is pushed out of the pipes into a separate area.,The steam powers turbines.,Magnets in the turbines spin in wire coils.,Electricity is produced.
nuclear electricity,How does a nuclear-powered power station generate electricity?,825,Uranium is underground.,Uranium is dug up.,Uranium is brought to nuclear power plants.,Uranium atoms are split into two smaller atoms.,Heat energy is released from the uranium.,The heat energy turns water into steam in a nuclear reactor.,The steam turns big turbines.,The turbines drive generators.,The generators make electricity.,The steam turns back into water.
nuclear electricity,How does a nuclear-powered power station generate electricity?,826,A nuclear reactor generates heat by nuclear fission.,The heat created raises steam.,The steam runs through turbines.,The turbines generate electricity.,The electricity leaves the station.,,,,,
steam engine,How does a steam engine work?,828,A fuel is heated in an oven.,Above the oven is a tank of water that is sealed.,The tank of water begins to boil above the oven.,A the water boils steam is created.,The steam is denser than air so it needs a place to go.,The steam is forced out of the tank and into a piston.,The piston moves up.,The valve of the piston closes.,The valve on the next piston opens.,"The steam fills the next piston, driving it up, and the other one down."
virus,How does a virus cause disease?,830,"The flu virus has receptors, which are like viral Velcro, on the surface of the virus particle.","The receptors will lock onto a target cell using these chemical receptors on the surface, which docks onto the cell surface.",The receptors  then go into the cell.,The receptors use it like a factory.,The receptors take it over and make it produce thousands or in some cases millions of copies of new viruses.,The copies come streaming out of the cell.,"The copies infect other cells to make more viruses, or they escape from the body and infect a new victim.",,,
